row_id,condition,task_type,faithfulness,completeness,coherence,judge_std_faith,judge_std_comp,judge_std_coh,parse_errors,qwen2.5:14b_faithfulness,qwen2.5:14b_completeness,qwen2.5:14b_coherence,llama3.1:8b_faithfulness,llama3.1:8b_completeness,llama3.1:8b_coherence
0,vanilla_hf,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
0,vanilla_loop,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
0,lookback,Summary,4.0,4.0,5.0,0.0,1.0,0.0,,4,3,5,4,5,5
0,factscore,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
0,combined,Summary,3.5,2.5,4.5,0.5,0.5,0.5,,3,2,4,4,3,5
1,vanilla_hf,Summary,3.5,2.5,4.5,0.5,0.5,0.5,,3,2,4,4,3,5
1,vanilla_loop,Summary,2.5,2.5,4.0,0.5,0.5,0.0,,3,2,4,2,3,4
1,lookback,Summary,2.5,2.5,4.0,0.5,0.5,0.0,,3,2,4,2,3,4
1,factscore,Summary,3.0,2.0,4.0,0.0,0.0,0.0,,3,2,4,3,2,4
1,combined,Summary,2.5,2.5,4.0,0.5,0.5,0.0,,3,2,4,2,3,4
2,vanilla_hf,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
2,vanilla_loop,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
2,lookback,Summary,2.5,2.5,4.0,0.5,0.5,0.0,,3,2,4,2,3,4
2,factscore,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
2,combined,Summary,2.5,1.5,4.0,0.5,0.5,0.0,,3,2,4,2,1,4
3,vanilla_hf,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
3,vanilla_loop,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
3,lookback,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
3,factscore,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
3,combined,Summary,4.0,3.0,5.0,0.0,0.0,0.0,,4,3,5,4,3,5
4,vanilla_hf,Summary,4.0,4.0,5.0,0.0,1.0,0.0,,4,3,5,4,5,5
4,vanilla_loop,Summary,3.5,3.5,4.5,0.5,1.5,0.5,,3,2,4,4,5,5
4,lookback,Summary,3.5,2.5,4.5,0.5,0.5,0.5,,3,2,4,4,3,5
4,factscore,Summary,3.5,3.5,4.5,0.5,1.5,0.5,,3,2,4,4,5,5
4,combined,Summary,3.0,2.5,4.0,1.0,0.5,1.0,,2,2,3,4,3,5
